Date,Note from the news,Weight
23/01/2020,"L’ALLARME CORONAVIRUS Allarme coronavirus in Cina, cresce il bilancio delle vittime. Misure di prevenzione e segnalazioni di contagio diffuse in tutto il mondo. Le città focolaio in quarantena, Pechino annulla i festeggiamenti",-10
25/01/2020,"CORONAVIRUS, MASSIMA ALLERTA 'Coronavirus', in Italia l'attenzione resta alta. Il ministro della Salute Speranza incontra i rappresentanti delle Regioni per gestire il coordinamento sul territorio delle disposizioni adottate.",-10
26/01/2020,"CORONAVIRUS, FARNESINA AL LAVORO La quarantena si estende anche ad altre regioni. Wuhan città fantasma, treni fermi, si intensificano i controlli negli aeroporti. L’impegno della Farnesina per i piani di evacuazione degli italiani.",-10
29/01/2020,"GLI ATTACCHI DELL’OPPOSIZIONE Matteo Salvini attacca il Governo sull'immigrazione e chiede chiarimenti sul caso coronavirus. Dopo il successo in Calabria, Berlusconi rilancia sul ruolo di Forza Italia nel centrodestra.",-10
31/01/2020,"STATO DI EMERGENZA PER SEI MESI Coronavirus, il Consiglio dei ministri dichiara lo stato di emergenza per sei mesi, bloccando i voli da e per la Cina. Il capo della protezione civile Borrelli nominato Commissario per l'emergenza.",-10
31/01/2020,"CORONAVIRUS, SALVINI ATTACCA IL GOVERNO Scontro politico sul coronavirus. Matteo Salvini attacca l’operato del Governo, Forza Italia chiede un tavolo bipartisan. La maggioranza chiede al leader della Lega di abbandonare speculazioni sul",0
01/02/2020,"CORONAVIRUS, NUOVE MISURE DI CONTROLLO Coronavirus, la task force guidata da Angelo Borrelli mette a punto le nuove misure di controllo, estese anche ai porti. Pronti al rientro gli italiani residenti a Wuhan.",-10
02/02/2020,"L’ITALIA ISOLA IL VIRUS All’ospedale Spallanzani isolato il Coronavirus, un passo importante per lo studio della cura. A darne l’annuncio il ministro della Salute Speranza.",10
03/02/2020,"CORONAVIRUS, MASSIMA ALLERTA Task force al Ministero della Salute, intensificati i controlli nei porti e negli aeroporti. ""Stare in guardia ma senza allarmismi"" dice il ministro della Salute Speranza.",-10
03/02/2020,"CONTE INCONTRA LE RICERCATRICI DELLO SPALLANZANI Il premier Conte incontra le ricercatrici dello Spallanzani che hanno isolato il Coronavirus, nella struttura fiore all'occhiello del SSN. Vertice a Palazzo Chigi con il ministro della Salute Speranza.",10
05/02/2020,"CORONAVIRUS, VOLI BLOCCATI Il blocco dei voli da e per la Cina impedisce il rientro dei cittadini italiani dal Paese. Il ministro degli Esteri Di Maio assicura che si tratta di una misura temporanea.",-10
06/02/2020,"CORONAVIRUS, CONTE: MASSIMA PRECAUZIONE Allarme Coronavirus, dal centro della Protezione civile, il presidente del Consiglio Conte rassicura che saranno mantenuti livelli di massima precauzione.",-10
08/02/2020,"VISCO AL CONGRESSO ASSIOM FOREX Intervenendo al congresso Assiom Forex, il governatore di Bankitalia Visco riflette sugli effetti dell'emergenza coronavirus sull'economia. Il ministro Gualtieri ottimista sulla situazione economica.",0
10/02/2020,"CORONAVIRUS, VERTICE A PALAZZO CHIGI Vertice interministeriale a Palazzo Chigi sull'emergenza coronavirus: al vaglio una task force che metta a punta una serie di misure per le imprese e altri provvedimenti che contengano il",-10
11/02/2020,"NESSUNA SOSPENSIONE DELL’ACCORDO DI SCHENGEN Coronavirus, “Non vi sono elementi tali da giustificare una limitazione della libertà di circolazione delle persone all’interno dell’area Schengen”. Sono le parole del ministro Speranza in audizione al",10
13/02/2020,"UE, VERTICE DEI MINISTRI DELLA SALUTE A Bruxelles vertice dei ministri della Salute. Il ministro Speranza ribadisce come l’Italia mantenga il più alto livello di preve nei confronti dell’epidemia Coronavirus.",-10
21/02/2020,"SPERANZA: “L’ITALIA E’ PRONTA” L’Italia è il Paese europeo con la maggiore soglia di attenzione. Il ministro della Salute Speranza rassicura in conferenza stampa a Milano, nel corso della presentazione dell’ordinanza congiunta con le nuove misure di uarantena obbligatoria e sorveglianza attiva",10
22/02/2020,"IL MONITO DI MATTARELLA Emergenza coronavirus, il presidente Sergio Mattarella lancia un appello al senso di unità e responsabilità rinnovando la sua vicinanza alle persone colpite dal virus.",-10
22/02/2020,GLI ATTACCHI DEL CENTRODESTRA L'emergenza Coronavirus mantiene acceso il dibattito politico: il centrodestra rilancia su controlli e protezione dei confini mentre la maggioranza chiede maggiore compattezza.,0
23/02/2020,"PUNTO SULL’EMERGENZA Coronavirus, incontro tra il presidente della Regione Attilio Fontana e i sindaci della Lombardia nel palazzo della Regione. Il sindaco Sala invita ad evitare allarmismi.",10
23/02/2020,"CORONAVIRUS, CATALFO CONVOCA I SINDACATI Il ministro del Lavoro Nunzia Catalfo convoca i sindacati e le associazioni datoriali per fare il punto sulle misure di contenimento ed emergenza sanitaria del Coronavirus.",-10
23/02/2020,"CORONAVIRUS, MATTARELLA FIRMA IL DECRETO Il presidente Sergio Mattarella firma il decreto varato dal Consiglio dei ministri per far fronte all'emergenza sanitaria del Coronavirus. Il premier Conte dalla sede della protezione civile ribadisce",-10
23/02/2020,LA POLITICA PROVA A UNIRE LE FORZE Le forze politiche si uniscono per sostenere lo sforzo contro la diffusione del Covid19. Il Pd ricorda l'appello all'unità del segretario Zingaretti. Dai 5 Stelle Crimi chiede collaborazione di istituzioni e,0
24/02/2020,"LE FRONTIERE RESTANO APERTE Coronavirus, la Commissione europea esclude la chiusura delle frontiere e la sospensione di Schengen. ""Risposta rapida ed efficiente"" scrive la responsabile della Salute a proposito delle misure",10
24/02/2020,SOSTEGNO A FAMIGLIE E IMPRESE Il Governo vara un primo sostegno a favore di famiglie e imprese nelle aree focolaio del Coronavirus. Concordate con Abi la sospensione delle rate dei mutui e interventi sulla cassa integrazione.,0
24/02/2020,LE CRITICHE DELL’OPPOSIZIONE Matteo Salvini critica il Governo per la gestione dell'emergenza Coronavirus; la maggioranza chiede di evitare polemiche. Berlusconi e Meloni insieme alla Lega invocano misure per aiutare i settori,0
25/02/2020,LE PROPOSTE DELLA LEGA Matteo Salvini chiama Conte e sottopone le proposte della Lega per fronteggiare le ricadute economiche del Coronavirus. Anche Forza Italia presenta misure a sostegno dell'economia in,0
