region,date,week_day,retail and recreation,grocery and pharmacy,parks,transit_stations,workplaces,residential,mese,holidays,daily_vax,tot_vax,news_score,active_cases,new_cases,tot_deaths,new_deaths,tot_hospitalization,color
Abruzzo,15/02/2020,6,2,2,36,9,0,-1,2,N,,0,-10,,,,,,
Aosta,15/02/2020,6,8,5,27,12,2,-1,2,N,,0,-10,,,,,,
Apulia,15/02/2020,6,-1,1,4,2,-1,0,2,N,,0,-10,,,,,,
Basilicata,15/02/2020,6,-1,-1,12,0,-1,0,2,N,,0,-10,,,,,,
Calabria,15/02/2020,6,-2,-2,12,3,1,0,2,N,,0,-10,,,,,,
Campania,15/02/2020,6,2,-1,23,10,0,-2,2,N,,0,-10,,,,,,
Emilia-Romagna,15/02/2020,6,5,4,25,7,1,-2,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,15/02/2020,6,3,1,45,10,1,-1,2,N,,0,-10,,,,,,
Italia,15/02/2020,6,3,-1,35,9,0,-1,2,N,,,-10,,,,,,
Lazio,15/02/2020,6,4,-1,43,9,1,-2,2,N,,0,-10,,,,,,
Liguria,15/02/2020,6,3,2,41,8,1,-1,2,N,,0,-10,,,,,,
Lombardy,15/02/2020,6,2,-1,50,8,-2,-1,2,N,,0,-10,,,,,,
Marche,15/02/2020,6,4,-1,32,9,1,-1,2,N,,0,-10,,,,,,
Molise,15/02/2020,6,2,1,25,4,2,-1,2,N,,0,-10,,,,,,
Piedmont,15/02/2020,6,1,0,23,4,0,-1,2,N,,0,-10,,,,,,
Sardinia,15/02/2020,6,-2,-1,23,4,0,0,2,N,,0,-10,,,,,,
Sicily,15/02/2020,6,0,-2,20,1,-2,0,2,N,,0,-10,,,,,,
Trentino-South Tyrol,15/02/2020,6,4,2,22,12,0,-1,2,N,,0,-10,,,,,,
Tuscany,15/02/2020,6,5,0,75,13,1,-2,2,N,,0,-10,,,,,,
Umbria,15/02/2020,6,3,-1,55,14,-2,-2,2,N,,0,-10,,,,,,
Veneto,15/02/2020,6,6,1,54,18,1,-2,2,N,,0,-10,,,,,,
Abruzzo,16/02/2020,7,2,8,47,26,-1,-2,2,N,,0,-10,,,,,,
Aosta,16/02/2020,7,9,6,14,14,1,0,2,N,,0,-10,,,,,,
Apulia,16/02/2020,7,3,0,73,12,-1,-1,2,N,,0,-10,,,,,,
Basilicata,16/02/2020,7,6,1,38,13,1,-1,2,N,,0,-10,,,,,,
Calabria,16/02/2020,7,3,2,32,8,-1,-1,2,N,,0,-10,,,,,,
Campania,16/02/2020,7,1,-1,30,17,1,-2,2,N,,0,-10,,,,,,
Emilia-Romagna,16/02/2020,7,1,6,39,5,0,-2,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,16/02/2020,7,5,5,36,12,1,-1,2,N,,0,-10,,,,,,
Italia,16/02/2020,7,3,2,26,11,1,-2,2,N,,,-10,,,,,,
Lazio,16/02/2020,7,6,1,37,8,1,-3,2,N,,0,-10,,,,,,
Liguria,16/02/2020,7,0,3,-10,2,-1,0,2,N,,0,-10,,,,,,
Lombardy,16/02/2020,7,-1,2,13,2,0,-1,2,N,,0,-10,,,,,,
Marche,16/02/2020,7,5,7,49,20,0,-2,2,N,,0,-10,,,,,,
Molise,16/02/2020,7,9,3,63,25,3,-2,2,N,,0,-10,,,,,,
Piedmont,16/02/2020,7,1,0,5,7,1,-1,2,N,,0,-10,,,,,,
Sardinia,16/02/2020,7,4,0,32,8,0,-1,2,N,,0,-10,,,,,,
Sicily,16/02/2020,7,1,1,27,7,-1,-1,2,N,,0,-10,,,,,,
Trentino-South Tyrol,16/02/2020,7,10,11,16,15,1,-1,2,N,,0,-10,,,,,,
Tuscany,16/02/2020,7,4,2,30,11,1,-2,2,N,,0,-10,,,,,,
Umbria,16/02/2020,7,4,6,39,22,1,-3,2,N,,0,-10,,,,,,
Veneto,16/02/2020,7,5,4,48,27,2,-2,2,N,,0,-10,,,,,,
Abruzzo,17/02/2020,1,-1,2,11,7,1,-1,2,N,,0,-10,,,,,,
Aosta,17/02/2020,1,11,8,14,5,1,0,2,N,,0,-10,,,,,,
Apulia,17/02/2020,1,-1,0,13,4,1,-1,2,N,,0,-10,,,,,,
Basilicata,17/02/2020,1,-2,0,10,1,1,-1,2,N,,0,-10,,,,,,
Calabria,17/02/2020,1,-1,-1,18,5,1,0,2,N,,0,-10,,,,,,
Campania,17/02/2020,1,-1,-1,3,5,1,-1,2,N,,0,-10,,,,,,
Emilia-Romagna,17/02/2020,1,1,2,14,5,4,-1,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,17/02/2020,1,0,1,3,1,0,0,2,N,,0,-10,,,,,,
Italia,17/02/2020,1,0,1,7,3,1,0,2,N,,,-10,,,,,,
Lazio,17/02/2020,1,1,1,13,3,2,-1,2,N,,0,-10,,,,,,
Liguria,17/02/2020,1,-5,-4,-20,-2,-2,1,2,N,,0,-10,,,,,,
Lombardy,17/02/2020,1,-3,-2,-14,1,0,0,2,N,,0,-10,,,,,,
Marche,17/02/2020,1,1,1,12,5,1,-1,2,N,,0,-10,,,,,,
Molise,17/02/2020,1,-1,-1,12,6,1,-1,2,N,,0,-10,,,,,,
Piedmont,17/02/2020,1,-1,1,3,0,0,0,2,N,,0,-10,,,,,,
Sardinia,17/02/2020,1,0,0,14,3,0,0,2,N,,0,-10,,,,,,
Sicily,17/02/2020,1,-2,-1,6,2,1,0,2,N,,0,-10,,,,,,
Trentino-South Tyrol,17/02/2020,1,5,6,5,4,1,0,2,N,,0,-10,,,,,,
Tuscany,17/02/2020,1,1,3,9,3,1,0,2,N,,0,-10,,,,,,
Umbria,17/02/2020,1,0,2,19,5,1,-1,2,N,,0,-10,,,,,,
Veneto,17/02/2020,1,-1,2,11,6,1,0,2,N,,0,-10,,,,,,
Abruzzo,18/02/2020,2,1,2,22,5,2,-1,2,N,,0,-10,,,,,,
Aosta,18/02/2020,2,12,7,25,9,3,-1,2,N,,0,-10,,,,,,
Apulia,18/02/2020,2,0,-1,15,5,1,0,2,N,,0,-10,,,,,,
